response,predictor,random_structure,model_type,n,delta_AICc,coef,p_value,R2_marginal,R2_conditional,n_loo_flagged
ER_total_mag,DTW_mean_2d_between,well_only,within/between,30,-5.511994213662248,-0.020606091798659656,0.9334684685685163,0.0022353229594427137,0.002423487405014166,22
ER_total_mag,DTW_sd_2d_within,nested,within/between,30,-3.690270371620258,12.158310126544203,0.18540872057586832,0.07812135803323957,0.07818140763865788,1
ER_total_mag,DTW_sd_2d_between,nested,within/between,30,-3.690270371620258,-38.8839670686711,0.5634337607331708,0.07812135803323957,0.07818140763865788,1
ER_total_mag,DTW_sd_2d_within,well_only,within/between,30,-3.2150144822445554,12.158632886387585,0.18539252180566113,0.07811392146551939,0.07820452072115928,1
ER_total_mag,DTW_sd_2d_between,well_only,within/between,30,-3.2150144822445554,-38.87382102972831,0.4993613863404305,0.07811392146551939,0.07820452072115928,1
ER_total_mag,fDOM_mean_2d_within,nested,within/between,30,-2.730166258691213,-0.0012495735564751888,0.9025675349240282,0.10804967232470221,0.10807668973917937,13
ER_total_mag,fDOM_mean_2d_between,nested,within/between,30,-2.730166258691213,0.02807621100823567,0.3136177939978775,0.10804967232470221,0.10807668973917937,0
ER_total_mag,fDOM_mean_2d_within,well_only,within/between,30,-2.2548356963127816,-0.0012495750590009683,0.9025674474430773,0.10804808874615877,0.10807965413820561,13
ER_total_mag,fDOM_mean_2d_between,well_only,within/between,30,-2.2548356963127816,0.02807605018536069,0.20351119406732687,0.10804808874615877,0.10807965413820561,0
ER_total_mag,temp_mean_2d_within,nested,within/between,30,-2.8134563796425454,-0.07860326269364692,0.061131204446192244,0.11446307559735563,0.1653714681914133,1
ER_total_mag,temp_mean_2d_between,nested,within/between,30,-2.8134563796425454,0.012016567749232343,0.8832728284912346,0.11446307559735563,0.1653714681914133,14
ER_total_mag,temp_mean_2d_within,well_only,within/between,30,-2.3364887233378226,-0.07860266543481559,0.06113352847166076,0.11447001283502672,0.16530994224588344,1
ER_total_mag,temp_mean_2d_between,well_only,within/between,30,-2.3364887233378226,0.012019302343834559,0.869913156278706,0.11447001283502672,0.16530994224588344,14
gross_total_areal_gO2_m2,DTW_mean_2d_within,nested,within/between,52,-1.4688617739670349,0.48766025652074785,0.5981774533437512,0.07771115066782942,0.07775159168802029,5
gross_total_areal_gO2_m2,DTW_mean_2d_between,nested,within/between,52,-1.4688617739670349,-0.3323446226612323,0.2947527804465191,0.07771115066782942,0.07775159168802029,0
gross_total_areal_gO2_m2,DTW_mean_2d_within,well_only,within/between,52,-1.1685731032193303,0.48766025652074746,0.5981727345997857,0.07772068434270679,0.07778897491860272,5
gross_total_areal_gO2_m2,DTW_mean_2d_between,well_only,within/between,52,-1.1685731032193303,-0.3323690466175865,0.1830926331124083,0.07772068434270679,0.07778897491860272,0
gross_total_areal_gO2_m2,DTW_sd_2d_within,nested,within/between,52,-2.039493005596114,14.209670812654151,0.11833914397812462,0.06312933031166885,0.1017209165877338,1
gross_total_areal_gO2_m2,DTW_sd_2d_between,nested,within/between,52,-2.039493005596114,40.45482207246817,0.5690427110514376,0.06312933031166885,0.1017209165877338,0
gross_total_areal_gO2_m2,DTW_sd_2d_within,well_only,within/between,52,-1.7379146312582066,14.209670812654155,0.11834478885999611,0.06316887875847807,0.10168778521349481,1
gross_total_areal_gO2_m2,DTW_sd_2d_between,well_only,within/between,52,-1.7379146312582066,40.49754937660611,0.5053763064767741,0.06316887875847807,0.10168778521349481,0
gross_total_areal_gO2_m2,fDOM_mean_2d_within,nested,within/between,52,0.6434506909447464,-0.00823330920449462,0.36929287719362924,0.11504435786179396,0.11507830433665729,1
gross_total_areal_gO2_m2,fDOM_mean_2d_between,nested,within/between,52,0.6434506909447464,0.029764795269464173,0.25042116236677214,0.11504435786179396,0.11507830433665729,0
gross_total_areal_gO2_m2,fDOM_mean_2d_within,well_only,within/between,52,0.9437968108742893,-0.008233309204494612,0.3692924410342401,0.11505544082073337,0.11509385278677468,1
gross_total_areal_gO2_m2,fDOM_mean_2d_between,well_only,within/between,52,0.9437968108742893,0.02976669904955824,0.1375574436776732,0.11505544082073337,0.11509385278677468,0
gross_total_areal_gO2_m2,temp_mean_2d_within,nested,within/between,52,-1.2764894621268184,-0.026553743554308184,0.4189922862862159,0.08117844529433614,0.08122454592905172,2
gross_total_areal_gO2_m2,temp_mean_2d_between,nested,within/between,52,-1.2764894621268184,0.08445881604156887,0.3004530081746849,0.08117844529433614,0.08122454592905172,0
gross_total_areal_gO2_m2,temp_mean_2d_within,well_only,within/between,52,-0.9762079301339952,-0.026553743554308194,0.41898462976132556,0.08118935796294266,0.08127003324188092,2
gross_total_areal_gO2_m2,temp_mean_2d_between,well_only,within/between,52,-0.9762079301339952,0.08446628548748188,0.18921817611091407,0.08118935796294266,0.08127003324188092,0
